No,Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
10062,Intermediate,Computer Science,"Counseling, MS Office, Accounting",Google Data Analytics,90,ML Engineer
10063,Matric,Computer Science,"SQL, Marketing, Accounting",,76,Data Entry Operator
10064,PhD,Engineering,"REST API, Analytical Thinking, Debian",Google IT Support,71,Technical Support Specialist
10065,Bachelor's,Computer Science,"Power BI, Elasticsearch, CentOS, VPN",AWS Certified Machine Learning,79,Machine Learning Engineer
10066,Intermediate,Engineering,"OOP, React Native, VPN",Unity Certified Developer,76,AR/VR Developer
10067,Master's,Computer Science,"Tableau, HTML, R",IBM Data Analyst Professional,67,Data Analyst
10068,PhD,Finance,"Accounting, Machine Learning, MS Office",Google Data Analytics,62,ML Engineer
10069,Master's,Computer Science,"Swift, Cassandra",IBM Data Science Professional,91,Data Scientist
10070,PhD,Science,"HTTP/HTTPS, JavaScript",Google Professional SRE,81,Site Reliability Engineer (SRE)
10071,Master's,Finance,"MySQL, GraphQL, Burp Suite, Wireshark",CISM,95,Cryptographer
10072,Master's,Computer Science,"Bash/Shell Scripting, Subnetting, Debian",Cisco CCNA,90,Infrastructure Engineer
10073,Intermediate,Engineering,"PyTorch, SIEM, Python",CISSP,89,Security Engineer
10074,Master's,Computer Science,"Kotlin/Java (Android), Problem Solving",NVIDIA Deep Learning Institute,92,Research Scientist
10075,Bachelor's,Computer Science,"PostgreSQL, Bash/Shell Scripting, Cryptography",Google Cloud Professional,65,Full Stack Developer
10076,Master's,Science,"Kali Linux, Kotlin, PostgreSQL, Spark",Tableau Desktop Specialist,62,Data Analyst
10077,Bachelor's,Commerce,"Bitbucket, Git, PHP",ISTQB Foundation,76,QA Engineer / Software Tester
10078,Bachelor's,Computer Science,"Cryptography, Microservices, HTTP/HTTPS, Agile/Scrum",TensorFlow Developer Certificate,83,Computer Vision Engineer
10079,Bachelor's,Computer Science,"Jira, Angular, Flask, Spring Boot",Google Cloud Professional,83,Full Stack Developer
10080,Bachelor's,Engineering,"Agile/Scrum, Analytical Thinking, SQL",IBM Business Analytics,77,Business Intelligence Analyst
10081,Bachelor's,Computer Science,"CI/CD, HTTP/HTTPS, Docker",Cisco CCNP,60,Network Engineer
10082,Bachelor's,Arts,"C++, Windows Server, PowerShell, OWASP",eJPT,73,Penetration Tester (Ethical Hacker)
10083,Bachelor's,Engineering,"REST API, HTML, PowerShell, Swift (iOS)",AWS IoT Specialty,72,IoT Engineer
10084,Bachelor's,Business,"Subnetting, Notion, OWASP",PRINCE2,73,IT Project Manager
10085,Bachelor's,Computer Science,"Redis, DNS, OOP",CompTIA Security+,61,Cybersecurity Analyst
10086,Bachelor's,Computer Science,"Technical Writing, Python",Docker Certified Associate,76,DevOps Engineer
10087,PhD,Computer Science,"REST API, Rust",Google Professional ML Engineer,90,ML Engineer
10088,Master's,Computer Science,"GraphQL, Redis, TypeScript",AWS Certified Developer,66,Full Stack Developer
10089,Bachelor's,Computer Science,"Linux (Ubuntu), CI/CD",AWS Certified DevOps Engineer,76,DevOps Engineer
10090,PhD,Arts,"GitHub, Swift, OOP",CompTIA Network+,93,IoT Engineer
10091,Intermediate,Finance,"Scala, Docker, C#",AWS Certified Mobile,66,Mobile Developer (iOS / Android)
10092,Master's,Psychology,"Go, Bash/Shell Scripting",HashiCorp Terraform,85,Cloud Engineer
10093,Bachelor's,Computer Science,"Analytical Thinking, C#, Windows Server, GitHub",ITIL Foundation,67,Technical Writer
10094,Bachelor's,Engineering,"React Native, SQL",Microsoft SQL Server Certification,64,Database Administrator (DBA)
10095,Bachelor's,Psychology,"CentOS, SIEM, R",OSCP (Offensive Security),61,Penetration Tester (Ethical Hacker)
10096,PhD,Engineering,"Vue, Metasploit",AWS SysOps Administrator,86,Infrastructure Engineer
10097,Master's,Business,"Debian, React, Flask, Penetration Testing",GCIA (GIAC),75,SOC Analyst
10098,Bachelor's,Engineering,"Express, Design Patterns",Google Associate Cloud Engineer,72,Software Engineer / Developer
10099,PhD,Computer Science,"SIEM, Redis, GraphQL, Communication",Coursera ML Specialization,75,Data Scientist
10100,Bachelor's,Engineering,"REST API, Data Structures & Algorithms, Bash/Shell Scripting",Cisco CCNA,81,Network Engineer
10101,Bachelor's,Business,Machine Learning,Tally ERP,80,ML Engineer
10102,Intermediate,Business,Machine Learning,AWS Certified,74,Data Entry Operator
10103,PhD,Science,"Notion, Load Balancer, Linux (Ubuntu), Debian",DeepLearning.AI Specialization,95,Research Scientist
10104,Master's,Engineering,"Flutter, Pandas",AWS Certified Mobile,87,Mobile Developer (iOS / Android)
10105,Master's,Business,"System Design, Linux (Ubuntu), Problem Solving",PMI-ACP,86,Product Manager
10106,Master's,Computer Science,"OOP, Next.js",ITIL Expert,63,IT Consultant
10107,PhD,Computer Science,"Pandas, Spark, PyTorch",Google Data Analytics,75,Data Scientist
10108,Bachelor's,Science,"Bitbucket, React, GitHub",AWS Certified Developer,86,Frontend Developer
10109,PhD,Engineering,"Debian, Firewall, Subnetting",CompTIA Security+,92,SOC Analyst
10110,Master's,Computer Science,"Flutter, GitLab, GraphQL, Elasticsearch",Google Associate Android Developer,83,Mobile Developer (iOS / Android)
10111,Matric,Science,"Jetpack Compose, C",HDI Support Center Analyst,80,IT Support / Help Desk
10112,Bachelor's,Commerce,"PostgreSQL, Design Patterns, Communication, Metasploit",CompTIA IT Fundamentals,93,Data Entry Operator
10113,PhD,Computer Science,"Kubernetes, Java",TOGAF,89,Enterprise Architect
10114,Intermediate,Finance,"GitHub, Node.js",Microsoft Power BI,65,Data Analyst
10115,Bachelor's,Computer Science,"Google Cloud, CI/CD, Terraform, Azure",CKA (Kubernetes),71,Platform Engineer
10116,Bachelor's,Computer Science,"Google Cloud, Communication, VPN, Problem Solving",HDI Support Center Analyst,83,IT Support / Help Desk
10117,Master's,Psychology,"C#, Communication, React",React Native Certification,82,Mobile Developer (iOS / Android)
10118,Bachelor's,Computer Science,"Terraform, AWS, Redis",TensorFlow Developer Certificate,66,Machine Learning Engineer
10119,Intermediate,Business,"Scala, Problem Solving, DNS, Bash/Shell Scripting",Microsoft Office Specialist,80,Data Entry Operator
10120,Master's,Commerce,"Kali Linux, Tableau, TensorFlow, Bash/Shell Scripting",AWS Certified Data Analytics,87,Data Engineer
10121,PhD,Engineering,"Kali Linux, Metasploit, AWS, Subnetting",CompTIA Security+,92,SOC Analyst
10122,Master's,Engineering,"Docker, Notion",Google Cloud Professional,92,Full Stack Developer
10123,PhD,Finance,"Microservices, Spark, TCP/IP",ITIL Foundation,83,Technical Support Specialist
10124,Bachelor's,Computer Science,"GraphQL, Elasticsearch, Design Patterns",IIBA CBAP,76,Business Analyst
10125,Master's,Computer Science,"HTTP/HTTPS, Java",Google Professional ML Engineer,80,AI Research Scientist
10126,Bachelor's,Computer Science,"Elasticsearch, MongoDB",Databricks Associate,83,Data Engineer
10127,Bachelor's,Computer Science,"OSI Model, Linux (Ubuntu)",CompTIA Security+,87,Cybersecurity Analyst
10128,Master's,Computer Science,"Notion, Go, Agile/Scrum, Laravel",AWS Certified Developer,78,Software Engineer / Developer
10129,Bachelor's,Engineering,"Wireshark, Bash/Shell Scripting, Google Cloud, JavaScript",Cisco CCNP,85,Network Engineer
10130,Bachelor's,Science,"Rust, Cassandra, Scala, SQL",Microsoft Azure Developer,66,Full Stack Developer
10131,Matric,Arts,"TypeScript, Swift, Git",Microsoft Azure Developer,78,Full Stack Developer
10132,Bachelor's,Business,"CSS, Firebase, System Design",Figma Professional,69,UI/UX Designer
10133,PhD,Computer Science,"SQL, Agile/Scrum",NVIDIA Deep Learning Institute,91,Research Scientist
10134,Bachelor's,Computer Science,"Problem Solving, SQL, Technical Writing",CEH (Certified Ethical Hacker),89,Cybersecurity Analyst
10135,PhD,Science,"REST API, NumPy",DeepLearning.AI Specialization,94,Research Scientist
10136,Bachelor's,Computer Science,"Angular, Communication, Technical Writing",STC Certification,84,Technical Writer
10137,Bachelor's,Computer Science,"OSI Model, Rust, OWASP, PowerShell",Cisco CCNP,81,Network Engineer
10138,Master's,Science,"Firewall, Problem Solving",Microsoft Azure Administrator,79,Infrastructure Engineer
10139,Bachelor's,Science,"Azure, DNS, Cryptography",CKA (Kubernetes),70,Site Reliability Engineer (SRE)
10140,Intermediate,Commerce,"MongoDB, Technical Writing, Cassandra, Bash/Shell Scripting",CompTIA IT Fundamentals,62,Data Entry Operator
10141,Bachelor's,Engineering,"Cryptography, MySQL, Kotlin/Java (Android), Firebase",Oracle Java Certified,69,Software Engineer / Developer
10142,Matric,Commerce,"Load Balancer, HTML, Scikit-learn",CompTIA Cloud+,88,Infrastructure Engineer
10143,Bachelor's,Computer Science,"GitHub, Redis",TOGAF,95,Solutions Architect
10144,PhD,Science,"Pandas, Swift (iOS), GraphQL",Google Professional ML Engineer,83,Research Scientist
10145,Bachelor's,Computer Science,"Notion, Kotlin/Java (Android)",PostgreSQL Associate,77,Database Administrator (DBA)
10146,Bachelor's,Science,"Linux (Ubuntu), PostgreSQL, Terraform",Tableau Desktop Specialist,79,Business Intelligence Analyst
10147,PhD,Computer Science,"Debian, Agile/Scrum",PMI-ACP,86,Scrum Master / Agile Coach
10148,Bachelor's,Engineering,"Load Balancer, Penetration Testing",CompTIA Network+,83,Network Engineer
10149,Intermediate,Arts,"CentOS, System Design",Docker Certified Associate,80,Platform Engineer
10150,PhD,Engineering,"Node.js, REST API",Google UX Design Certificate,89,UI/UX Designer
10151,Bachelor's,Business,"Swift (iOS), REST API, Analytical Thinking",PMI-PBA,86,Business Analyst
10152,PhD,Computer Science,"C++, Subnetting",NVIDIA Deep Learning Institute,81,Research Scientist
10153,Bachelor's,Computer Science,"OSI Model, DNS, Wireshark, GitHub",CompTIA Security+,71,Cybersecurity Analyst
10154,Master's,Computer Science,"Java, TCP/IP",DeepLearning.AI Specialization,84,Research Scientist
10155,Intermediate,Science,"Bash/Shell Scripting, OOP, Communication",HP ALM Certified,68,QA Engineer / Software Tester
10156,Bachelor's,Engineering,"GraphQL, Metasploit",GitHub Certified,72,Software Engineer / Developer
10157,PhD,Computer Science,"Scala, Bash/Shell Scripting, Java",Ethereum Developer Certification,81,Blockchain Developer
10158,Intermediate,Finance,"Google Cloud, GraphQL, Azure, SIEM",Figma Professional,67,UI/UX Designer
10159,Bachelor's,Business,"Debian, Problem Solving, Redis, Scala",AWS Certified Machine Learning,63,NLP Engineer
10160,PhD,Science,"Pandas, GraphQL, Notion, Wireshark",DeepLearning.AI NLP Specialization,69,NLP Engineer
10161,Bachelor's,Computer Science,"CSS, TypeScript, Agile/Scrum",CompTIA PenTest+,75,Penetration Tester (Ethical Hacker)
10162,Master's,Computer Science,"Ansible, OOP",TOGAF,94,Enterprise Architect
10163,Master's,Computer Science,"NumPy, Kotlin, Kali Linux, Terraform",CompTIA Security+,64,Cybersecurity Analyst
10164,Intermediate,Computer Science,"Accounting, Communication",Tally ERP,64,ML Engineer
10165,Bachelor's,Engineering,"PyTorch, REST API",TensorFlow Developer Certificate,69,NLP Engineer
10166,Bachelor's,Computer Science,"Flutter, Azure",MySQL Certified,78,Database Administrator (DBA)
10167,Bachelor's,Finance,"JavaScript, Technical Writing, Communication, Kotlin",HP ALM Certified,70,QA Engineer / Software Tester
10168,PhD,Computer Science,"OWASP, C, Swift (iOS), Swift",AWS Certified Developer,78,Backend Developer
10169,Master's,Computer Science,"VPN, Bash/Shell Scripting",CISM,94,Cybersecurity Analyst
10170,Intermediate,Computer Science,"Flask, Windows Server, PowerShell",Microsoft MTA,71,IT Support / Help Desk
10171,PhD,Computer Science,"Technical Writing, Node.js",AWS Certified Developer,62,Frontend Developer
10172,Intermediate,Engineering,"Communication, C, Data Structures & Algorithms, HTTP/HTTPS",AWS Certified SysOps,95,Site Reliability Engineer (SRE)
10173,Master's,Engineering,"Firewall, TCP/IP",Microsoft MTA,78,Technical Support Specialist
10174,Bachelor's,Commerce,"Scikit-learn, MySQL, Notion",Tally ERP,94,Data Entry Operator
10175,Master's,Arts,"Problem Solving, Kubernetes",Snowflake SnowPro,82,Data Engineer
10176,Bachelor's,Arts,"Data Structures & Algorithms, VPN, CSS",Figma Professional,67,Product Designer
10177,Bachelor's,Business,"Go, Flutter, CentOS",AWS Solutions Architect Professional,94,Solutions Architect
10178,Matric,Computer Science,"SQL, Express, Ansible, Design Patterns",Interaction Design Foundation,84,UI/UX Designer
10179,PhD,Computer Science,"Technical Writing, Microservices",TensorFlow Developer Certificate,88,ML Engineer
10180,Bachelor's,Computer Science,"Cryptography, Hadoop",AWS Certified Machine Learning,82,ML Engineer
10181,Intermediate,Computer Science,"Windows Server, OSI Model, MySQL, Rust",CompTIA Network+,95,IoT Engineer
10182,Bachelor's,Computer Science,"Java, SIEM",AWS Certified Developer,90,Software Engineer
10183,Master's,Arts,"Next.js, Linux (Ubuntu)",ITIL Expert,73,IT Consultant
10184,Bachelor's,Engineering,"Azure, Wireshark",ITIL Foundation,79,Technical Support Specialist
10185,Bachelor's,Computer Science,"TypeScript, Kotlin",AWS Certified Machine Learning,87,Data Scientist
10186,Master's,Psychology,"Azure, OSI Model, Hadoop, SIEM",CompTIA Cloud+,83,Infrastructure Engineer
10187,Master's,Computer Science,"C++, Docker",TensorFlow Developer Certificate,82,ML Engineer
10188,PhD,Finance,"SQL, MS Office, Financial Analysis",Tally ERP,90,Software Engineer
10189,Bachelor's,Engineering,"HTTP/HTTPS, Kali Linux",Cisco CCNA,72,Network Engineer
10190,PhD,Business,"Git, Bash/Shell Scripting, Express, Kotlin/Java (Android)",Unity Certified Developer,93,Game Developer
10191,Bachelor's,Computer Science,"Scikit-learn, React Native",AWS Certified Machine Learning,74,Computer Vision Engineer
10192,Bachelor's,Computer Science,"Bash/Shell Scripting, GitHub Actions, Cassandra, Go",HashiCorp Terraform,71,Cloud Engineer
10193,Bachelor's,Computer Science,"Kotlin/Java (Android), MySQL",HashiCorp Terraform,85,Cloud Engineer
10194,Intermediate,Computer Science,"Laravel, Python, REST API, Spark",CompTIA Cloud+,77,Infrastructure Engineer
10195,Intermediate,Science,"SQLite, PowerShell, Windows Server, Agile/Scrum",Microsoft MTA,76,Technical Support Specialist
10196,Master's,Business,"Angular, Firewall",Google Cloud Architect,86,Solutions Architect
10197,Intermediate,Computer Science,"Subnetting, CSS",CompTIA Cloud+,93,Infrastructure Engineer
10198,Matric,Finance,"Kotlin/Java (Android), Pandas, Debian",Microsoft Power BI,75,Data Analyst
10199,Bachelor's,Science,"C#, JavaScript",Hyperledger Fabric,93,Blockchain Developer
10200,Bachelor's,Computer Science,"Pandas, Terraform, GraphQL, Kotlin",AWS Certified Machine Learning,64,Machine Learning Engineer
10201,Master's,Computer Science,"Kotlin, System Design, Scala",Meta Spark AR,93,AR/VR Developer
10202,Master's,Business,"Analytical Thinking, C++, SQL",ISTQB Foundation,87,QA Engineer / Software Tester
10203,Master's,Science,"AWS, GitLab, React Native",CompTIA Linux+,92,Firmware Engineer
10204,Bachelor's,Science,"Wireshark, R",Databricks Associate,81,Data Engineer
10205,Bachelor's,Engineering,"C++, Linux (Ubuntu), AWS",CompTIA Cloud+,89,Infrastructure Engineer
10206,Bachelor's,Engineering,"Jetpack Compose, Kali Linux",CompTIA Network+,68,Network Engineer
10207,Master's,Engineering,"Kotlin/Java (Android), Design Patterns, Flutter, Microservices",Unity Certified Developer,93,AR/VR Developer
10208,Bachelor's,Computer Science,"SQLite, Vue",Juniper JNCIA,90,Network Engineer
10209,Intermediate,Business,"Jira, Bash/Shell Scripting, Agile/Scrum, MongoDB",Microsoft Office Specialist,80,Data Entry Operator
10210,Matric,Computer Science,"Confluence, Spring Boot",AWS Certified Developer,93,Frontend Developer
10211,Bachelor's,Engineering,"Confluence, MySQL, Analytical Thinking, GraphQL",Oracle Java Certified,92,Software Engineer
10212,Bachelor's,Business,"SIEM, Google Cloud",CISM,63,Security Engineer
10213,Bachelor's,Arts,"Analytical Thinking, Cryptography, Confluence",STC Certification,84,Technical Writer
10214,Bachelor's,Computer Science,"Swift, Docker",Databricks ML Associate,82,Machine Learning Engineer
10215,Bachelor's,Business,"Windows Server, Debian, Bitbucket, Flask",HashiCorp Terraform,72,Platform Engineer
10216,PhD,Computer Science,"Flutter, Redis",CertNexus IoT,65,Embedded Systems Engineer
10217,Bachelor's,Computer Science,"Agile/Scrum, Analytical Thinking, Firewall",CompTIA A+,88,IT Support / Help Desk
10218,Master's,Finance,"Linux (Ubuntu), Subnetting, Windows Server",ITIL Foundation,76,Technical Support Specialist
10219,Intermediate,Engineering,"Bash/Shell Scripting, Google Cloud, DNS",CompTIA Linux+,87,System Administrator
10220,Intermediate,Computer Science,"Linux (Ubuntu), PyTorch, REST API",AWS Certified Machine Learning,89,NLP Engineer
10221,Bachelor's,Computer Science,"Windows Server, Vue, Scikit-learn",Google Data Analytics,75,Data Scientist
10222,Master's,Computer Science,"Tableau, Data Structures & Algorithms, TypeScript, GraphQL",GitHub Certified,79,Software Engineer / Developer
10223,Matric,Finance,"Load Balancer, Firewall",Google Cloud Professional,94,Backend Developer
10224,Master's,Business,"PyTorch, GitHub, Communication",Scrum Master (CSM),62,IT Project Manager
10225,Master's,Business,"Notion, Analytical Thinking, GitHub",CompTIA Project+,92,IT Project Manager
10226,Master's,Computer Science,"Jenkins, Data Structures & Algorithms, CI/CD",Microsoft Azure Solutions Architect,82,Solutions Architect
10227,Master's,Computer Science,"C#, Swift, TCP/IP",Meta Full Stack Developer,79,Full Stack Developer
10228,PhD,Computer Science,"Spark, Scikit-learn, Java",Google Professional ML Engineer,89,Research Scientist
10229,Master's,Engineering,"Cassandra, REST API",Google Data Analytics,66,Business Intelligence Analyst
10230,Bachelor's,Engineering,"Problem Solving, Scala",Meta Front-End Developer,95,Frontend Developer
10231,Bachelor's,Computer Science,"Analytical Thinking, Elasticsearch, Communication",Markdown Expert,92,Technical Writer
10232,Master's,Business,"SQLite, Analytical Thinking, C++",AIPMM CPM,62,Product Manager
10233,PhD,Computer Science,"Pandas, MySQL, Elasticsearch, Design Patterns",Google Professional ML Engineer,75,Machine Learning Engineer
10234,Bachelor's,Finance,"Counseling, MS Office, Machine Learning",Tally ERP,67,Business Analyst
10235,Bachelor's,Engineering,"SIEM, Confluence",freeCodeCamp Certification,95,Frontend Developer
10236,Bachelor's,Science,"TCP/IP, HTTP/HTTPS",CertNexus IoT,71,Embedded Systems Engineer
10237,Bachelor's,Computer Science,"Git, Problem Solving, Burp Suite",TOGAF,64,IT Consultant
10238,Bachelor's,Computer Science,"Jenkins, Kali Linux",Google Professional SRE,90,Site Reliability Engineer (SRE)
10239,Bachelor's,Commerce,"SQL, Bash/Shell Scripting, Flutter, OSI Model",Microsoft Office Specialist,69,Data Entry Operator
10240,PhD,Computer Science,"GraphQL, Kotlin",IBM Data Science Professional,76,Research Scientist
10241,PhD,Computer Science,"Data Structures & Algorithms, Swift, Bash/Shell Scripting",IBM Data Science Professional,82,Data Scientist
10242,Bachelor's,Science,"Redis, Linux (Ubuntu)",Oracle Java Certified,80,Backend Developer
10243,Bachelor's,Computer Science,"Communication, Wireshark, Laravel, Penetration Testing",Scrum Product Owner (CSPO),85,Product Manager
10244,Master's,Computer Science,"OOP, JavaScript",Oracle Java Certified,93,Software Engineer / Developer
10245,Master's,Engineering,"C#, TypeScript",HP ALM Certified,69,QA Engineer / Software Tester
10246,Bachelor's,Finance,"Machine Learning, Data Analysis",Digital Marketing,89,ML Engineer
10247,Matric,Arts,"Microservices, Jetpack Compose, Firebase, Linux (Ubuntu)",Unreal Engine Certification,79,Game Developer
10248,Matric,Computer Science,"OSI Model, Communication, AWS",Apple Certified Developer,80,Mobile Developer (iOS / Android)
10249,Intermediate,Commerce,"SQL, Financial Analysis, Accounting",Mental Health Basics,83,Data Entry Operator
10250,Intermediate,Finance,SQL,Digital Marketing,61,Software Engineer
10251,Bachelor's,Business,"Spark, GraphQL",PMI-PBA,62,Business Analyst
10252,Bachelor's,Computer Science,"HTTP/HTTPS, Vue, REST API",TOGAF,77,Solutions Architect
10253,Bachelor's,Engineering,"Swift, Hadoop",Tricentis Tosca,85,QA Engineer / Software Tester
10254,Bachelor's,Science,"Analytical Thinking, Cryptography, Subnetting",SAFe Agilist,95,Scrum Master / Agile Coach
10255,Bachelor's,Business,"Problem Solving, Agile/Scrum",PRINCE2,94,IT Project Manager
10256,Bachelor's,Engineering,"CentOS, Terraform, Analytical Thinking, Cassandra",Oracle DBA Certified,69,Database Administrator (DBA)
10257,PhD,Business,"Analytical Thinking, Firebase, Docker, Go",Ethereum Developer Certification,60,Blockchain Developer
10258,Master's,Computer Science,"Docker, Cassandra, Bash/Shell Scripting",Cisco CCNA,95,Infrastructure Engineer
10259,Bachelor's,Business,"NumPy, TCP/IP, OWASP",CompTIA Security+,67,Security Engineer
10260,Master's,Finance,"REST API, OOP, Jira",CompTIA Security+,93,SOC Analyst
10261,Bachelor's,Science,"System Design, SQL, CentOS, TensorFlow",CompTIA Linux+,91,Firmware Engineer
10262,PhD,Computer Science,"Rust, MongoDB, REST API, OSI Model",DeepLearning.AI Specialization,76,Research Scientist
10263,Bachelor's,Computer Science,"Microservices, GitHub, Docker",Google Technical Writing,86,Technical Writer
10264,Bachelor's,Computer Science,"Bash/Shell Scripting, REST API, Confluence",Docker Certified Associate,77,Platform Engineer
10265,Master's,Computer Science,"Tableau, GraphQL",AWS Certified Developer,84,Software Engineer / Developer
10266,Bachelor's,Engineering,"Firebase, SQL, R, Analytical Thinking",Oracle Java Certified,84,Software Engineer / Developer
10267,Master's,Science,"Accounting, MS Office",Mental Health Basics,68,ML Engineer
10268,PhD,Arts,"REST API, Jira, HTML",Meta Front-End Developer,90,Frontend Developer
10269,Bachelor's,Computer Science,"TensorFlow, Redis, Design Patterns, Data Structures & Algorithms",Cisco CCNP,87,Network Engineer
10270,Intermediate,Engineering,"Communication, Analytical Thinking, Kotlin/Java (Android)",HP ALM Certified,61,QA Engineer / Software Tester
10271,Bachelor's,Engineering,"OWASP, Redis, React, Confluence",CompTIA Network+,83,Network Engineer
10272,Bachelor's,Computer Science,"Confluence, Firewall, DNS",Microsoft MCSA,88,System Administrator
10273,PhD,Arts,"Windows Server, Technical Writing, C#, GitHub Actions",AWS Certified Developer,73,Backend Developer
10274,Master's,Business,"CI/CD, Terraform",PMP (Project Management Professional),91,IT Project Manager
10275,Master's,Science,"TCP/IP, Debian, Burp Suite",Google IT Support,75,Technical Support Specialist
10276,Intermediate,Finance,"Redis, Rust, Jetpack Compose",CompTIA A+,65,Technical Support Specialist
10277,Master's,Computer Science,"Design Patterns, AWS, Communication, Agile/Scrum",AWS Solutions Architect,74,IT Consultant
10278,Master's,Computer Science,"HTTP/HTTPS, Windows Server, Analytical Thinking, Scala",Google UX Design Certificate,60,Frontend Developer
10279,Intermediate,Computer Science,"TypeScript, SQL, Communication",Microsoft Azure Developer,72,Full Stack Developer
10280,Bachelor's,Computer Science,"Power BI, Swift (iOS), Bash/Shell Scripting, Jira",Apple Certified Developer,78,Mobile Developer (iOS / Android)
10281,Bachelor's,Science,"GraphQL, Firebase, OOP, Swift",AWS Certified Developer,72,Backend Developer
10282,Bachelor's,Science,"GraphQL, Design Patterns, Data Structures & Algorithms",TensorFlow Developer Certificate,60,Computer Vision Engineer
10283,Intermediate,Computer Science,"Communication, Rust",Google Data Analytics,70,Data Analyst
10284,PhD,Arts,"Bitbucket, Python",React Native Certification,79,Mobile Developer (iOS / Android)
10285,Bachelor's,Engineering,"Jetpack Compose, Windows Server, CentOS",HashiCorp Terraform,74,DevOps Engineer
10286,Bachelor's,Commerce,"Data Structures & Algorithms, GraphQL, Python",Microsoft Azure Developer,90,Full Stack Developer
10287,Bachelor's,Computer Science,"Communication, C++, JavaScript",CertNexus IoT,62,IoT Engineer
10288,Matric,Finance,Python,Mental Health Basics,72,Software Engineer
10289,Master's,Business,"TensorFlow, Problem Solving, Laravel, SQLite",Google UX Design Certificate,64,UI/UX Designer
10290,Bachelor's,Computer Science,"Swift (iOS), Terraform, Jenkins, Jira",AWS Certified DevOps Engineer,92,DevOps Engineer
10291,Matric,Business,"SQL, PostgreSQL",Microsoft Office Specialist,87,Data Entry Operator
10292,Master's,Computer Science,"Design Patterns, OOP",Adobe Certified Professional,85,UI/UX Designer
10293,Intermediate,Commerce,"Linux (Ubuntu), Agile/Scrum",CompTIA IT Fundamentals,64,Data Entry Operator
10294,Master's,Computer Science,"OOP, Rust, GraphQL",Coursera ML Specialization,85,Data Scientist
10295,Bachelor's,Computer Science,"Windows Server, Bash/Shell Scripting",CompTIA Linux+,63,Firmware Engineer
10296,Bachelor's,Finance,"Node.js, Debian, Power BI, Laravel",Adobe Certified Professional,88,Product Designer
10297,Master's,Business,"Problem Solving, Git, Design Patterns",Tableau Desktop Specialist,86,Business Analyst
10298,Bachelor's,Engineering,"Agile/Scrum, Git, Communication, Kotlin",Selenium Certification,64,QA Engineer / Software Tester
10299,Bachelor's,Computer Science,"Python, HTML, SQL, Docker",Databricks ML Associate,90,Machine Learning Engineer
10300,Bachelor's,Arts,"PyTorch, Bitbucket",Google Technical Writing,82,Technical Writer
10301,Bachelor's,Computer Science,"Scikit-learn, Hadoop, Cassandra",Microsoft Power BI,92,Business Analyst
10302,Bachelor's,Computer Science,"Confluence, Azure, SIEM, Hadoop",DeepLearning.AI NLP Specialization,84,NLP Engineer
10303,Master's,Computer Science,"Analytical Thinking, Problem Solving",TOGAF,78,Enterprise Architect
10304,Bachelor's,Finance,"DNS, Agile/Scrum, CSS",ITIL Foundation,88,Technical Support Specialist
10305,PhD,Computer Science,"Python, TypeScript, OWASP",Google UX Design Certificate,63,Product Designer
10306,Bachelor's,Computer Science,"Kubernetes, React Native",MySQL Certified,60,Database Administrator (DBA)
10307,Master's,Computer Science,"Notion, SQL, JavaScript, Ansible",AWS Solutions Architect Professional,69,Solutions Architect
10308,Bachelor's,Science,"Metasploit, PyTorch, Bash/Shell Scripting, REST API",CompTIA Security+,66,SOC Analyst
10309,Bachelor's,Computer Science,"Communication, TCP/IP, Power BI",Tableau Desktop Specialist,86,Business Analyst
10310,Intermediate,Commerce,SQL,Mental Health Basics,94,Data Entry Operator
10311,Bachelor's,Computer Science,"C#, Cassandra, Ansible",Oracle DBA Certified,77,Database Administrator (DBA)
10312,Master's,Engineering,"Rust, Azure",Microsoft Azure Administrator,81,Cloud Engineer
10313,Bachelor's,Engineering,"React Native, Vue, Kotlin/Java (Android)",AWS Certified Mobile,63,Mobile Developer (iOS / Android)
10314,Bachelor's,Finance,"Debian, VPN, Bash/Shell Scripting",HashiCorp Terraform,63,Cloud Engineer
10315,Bachelor's,Engineering,"TensorFlow, Google Cloud, Load Balancer, Windows Server",Microsoft Azure Administrator,84,Infrastructure Engineer
10316,Intermediate,Computer Science,"Git, Technical Writing",Certified Scrum Master (CSM),83,Scrum Master / Agile Coach
10317,Bachelor's,Arts,"Analytical Thinking, Tableau",CompTIA Cloud+,89,Infrastructure Engineer
10318,Bachelor's,Computer Science,"Technical Writing, Azure, Angular, HTML",Microsoft MCSA,72,System Administrator
10319,Master's,Computer Science,"REST API, HTTP/HTTPS",Google Cloud Professional,90,Cloud Engineer
10320,Bachelor's,Engineering,"GitLab, MySQL",Google Cloud Architect,71,Solutions Architect
10321,PhD,Psychology,"Spark, GitLab, Kubernetes",Docker Certified Associate,94,Platform Engineer
10322,Matric,Engineering,"NumPy, Data Structures & Algorithms, Debian, CentOS",Microsoft Azure Administrator,82,Infrastructure Engineer
10323,Bachelor's,Engineering,"Subnetting, Metasploit, Jetpack Compose",Ethereum Developer Certification,79,Blockchain Developer
10324,Master's,Engineering,"HTTP/HTTPS, Laravel",Certified Blockchain Developer,72,Blockchain Developer
